CN(C)C(=O)c1ccc(cc1)OC,-1.8744674
CS(=O)(=O)Cl,-0.27751446
CC(C)C=C,1.4650888
CCc1cnccn1,-0.4283667
CCCCCCCO,-0.10585503
Cc1cc(cc(c1)O)C,-0.64164054
CC(C)C(C)C,1.5977348
CCCC(C)(C)O,-0.030428916
C[C@@H]1CCCC[C@@H]1C,1.4000664
CC[C@H](C)O,-0.21249194
C(Br)Br,0.4793476
CC[C@H](C(C)C)O,-0.020025313
CCc1ccccn1,-0.13706584
CCCCC(=O)OCC,0.34149987
c1ccc(cc1)S,0.32589445
CC(=CCC/C(=C\CO)/C)C,-0.25410637
c1ccc2c(c1)CCC2,0.6093926
CCOc1ccccc1,0.41172418
c1cc(ccc1O)Br,-0.5324027
CCCC(C)(C)C,1.7381834
CC(=O)OCCOC(=O)C,-0.65984684
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-0.5974252
C1CCCC(CC1)O,-0.4361694
COC(=O)C1CC1,-0.07724512
c1ccc(cc1)C#N,-0.07724512
CCCCC#N,0.0736071
CC(C)(C)O,-0.17347844
CC(C)C(=O)C(C)C,0.27647734
CCC=O,0.09701521
CN(C)C=O,-1.0421792
Cc1ccc(cc1)C,0.78105205
C=CCC=C,1.2310078
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-0.77428645
CN(C)C(=O)c1ccccc1,-1.4271125
CCNCC,-0.06944242
CC(C)(C)c1ccc(cc1)O,-0.54800814
CC(C)CCOC=O,0.43513227
CCCCCCCCCCO,0.0423963
CCC(=O)OCC,0.29208276
CCCCCCCCC,1.803206
CC(=O)NC,-1.6117765
CCCCCCCC=C,1.5249096
c1ccc2cc(ccc2c1)O,-1.1202062
c1cc(c(cc1Cl)Cl)Cl,0.6978232
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-5.154203
CCCC(=O)OC,0.25306925
c1ccc(c(c1)C=O)O,-0.22809735
C1CNC1,-0.4569766
CCCNCCC,0.0397954
c1ccc(cc1)N,-0.4387703
C(F)(F)(F)F,1.800605
CC[C@@H](C)CO,-0.16047394
c1ccc(c(c1)O)I,-0.62343425
COc1cccc(c1O)OC,-0.8211027
CCC#C,0.94750965
c1ccc(cc1)C(F)(F)F,0.9241016
NN,-1.4297134
Cc1ccccn1,-0.21509285
